(2015,77)	211
(2015,76)	192
(2015,75)	217
(2015,74)	49
(2015,73)	323
(2015,72)	89
(2015,71)	860
(2015,70)	261
(2015,69)	636
(2015,68)	685
(2015,67)	706
(2015,66)	675
(2015,65)	213
(2015,64)	108
(2015,63)	253
(2015,62)	100
(2015,61)	518
(2015,60)	172
(2015,59)	139
(2015,58)	313
(2015,57)	113
(2015,56)	234
(2015,55)	58
(2015,54)	123
(2015,53)	441
(2015,52)	148
(2015,51)	233
(2015,50)	125
(2015,49)	796
(2015,48)	148
(2015,47)	32
(2015,46)	546
(2015,45)	131
(2015,44)	618
(2015,43)	1086
(2015,42)	381
(2015,41)	151
(2015,40)	274
(2015,39)	148
(2015,38)	303
(2015,37)	94
(2015,36)	56
(2015,35)	243
(2015,34)	124
(2015,33)	208
(2015,32)	726
(2015,31)	238
(2015,30)	392
(2015,29)	836
(2015,28)	780
(2015,27)	542
(2015,26)	693
(2015,25)	1979
(2015,24)	715
(2015,23)	927
(2015,22)	542
(2015,21)	297
(2015,20)	225
(2015,19)	555
(2015,18)	63
(2015,17)	191
(2015,16)	352
(2015,15)	423
(2015,14)	272
(2015,13)	110
(2015,12)	46
(2015,11)	129
(2015,10)	127
(2015,9)	24
(2015,8)	918
(2015,7)	367
(2015,6)	507
(2015,5)	155
(2015,4)	216
(2015,3)	329
(2015,2)	351
(2015,1)	415
(2015,0)	1
(2014,77)	2242
(2014,76)	1950
(2014,75)	2009
(2014,74)	621
(2014,73)	3011
(2014,72)	868
(2014,71)	7728
(2014,70)	2423
(2014,69)	6515
(2014,68)	6755
(2014,67)	7366
(2014,66)	6316
(2014,65)	2020
(2014,64)	976
(2014,63)	2534
(2014,62)	990
(2014,61)	5001
(2014,60)	1772
(2014,59)	1047
(2014,58)	2811
(2014,57)	922
(2014,56)	1832
(2014,55)	615
(2014,54)	1318
(2014,53)	4257
(2014,52)	1273
(2014,51)	2213
(2014,50)	1095
(2014,49)	7012
(2014,48)	1558
(2014,47)	390
(2014,46)	5060
(2014,45)	1375
(2014,44)	6111
(2014,43)	9034
(2014,42)	3968
(2014,41)	1374
(2014,40)	2825
(2014,39)	1374
(2014,38)	3327
(2014,37)	915
(2014,36)	626
(2014,35)	2277
(2014,34)	1203
(2014,33)	1733
(2014,32)	7120
(2014,31)	2589
(2014,30)	4562
(2014,29)	8299
(2014,28)	7616
(2014,27)	5404
(2014,26)	5975
(2014,25)	18173
(2014,24)	7093
(2014,23)	8836
(2014,22)	4955
(2014,21)	2291
(2014,20)	1736
(2014,19)	4797
(2014,18)	514
(2014,17)	1522
(2014,16)	2688
(2014,15)	3237
(2014,14)	2257
(2014,13)	818
(2014,12)	446
(2014,11)	1205
(2014,10)	1154
(2014,9)	235
(2014,8)	8836
(2014,7)	3949
(2014,6)	5566
(2014,5)	1459
(2014,4)	1812
(2014,3)	3680
(2014,2)	3316
(2014,1)	3684
(2014,0)	2
(2013,77)	2647
(2013,76)	2118
(2013,75)	2336
(2013,74)	578
(2013,73)	3617
(2013,72)	992
(2013,71)	8330
(2013,70)	2649
(2013,69)	7510
(2013,68)	7823
(2013,67)	8831
(2013,66)	7198
(2013,65)	2193
(2013,64)	1102
(2013,63)	2708
(2013,62)	1238
(2013,61)	5776
(2013,60)	1863
(2013,59)	1263
(2013,58)	2809
(2013,57)	1085
(2013,56)	2009
(2013,55)	702
(2013,54)	1399
(2013,53)	5048
(2013,52)	1393
(2013,51)	2132
(2013,50)	1005
(2013,49)	7810
(2013,48)	1584
(2013,47)	454
(2013,46)	5645
(2013,45)	1502
(2013,44)	6961
(2013,43)	10360
(2013,42)	4513
(2013,41)	1631
(2013,40)	3282
(2013,39)	1482
(2013,38)	3817
(2013,37)	1064
(2013,36)	698
(2013,35)	2488
(2013,34)	1260
(2013,33)	1771
(2013,32)	7614
(2013,31)	2961
(2013,30)	4889
(2013,29)	9512
(2013,28)	8208
(2013,27)	5963
(2013,26)	6570
(2013,25)	19777
(2013,24)	7996
(2013,23)	9932
(2013,22)	5750
(2013,21)	2632
(2013,20)	1844
(2013,19)	5531
(2013,18)	623
(2013,17)	1783
(2013,16)	3349
(2013,15)	3861
(2013,14)	2603
(2013,13)	845
(2013,12)	437
(2013,11)	1325
(2013,10)	1118
(2013,9)	291
(2013,8)	10017
(2013,7)	4338
(2013,6)	6710
(2013,5)	1635
(2013,4)	2128
(2013,3)	4173
(2013,2)	3717
(2013,1)	4294
(2013,0)	3
(2012,77)	3181
(2012,76)	1821
(2012,75)	2581
(2012,74)	659
(2012,73)	3754
(2012,72)	1172
(2012,71)	9198
(2012,70)	2661
(2012,69)	8525
(2012,68)	8740
(2012,67)	9766
(2012,66)	8475
(2012,65)	2410
(2012,64)	1266
(2012,63)	3082
(2012,62)	1320
(2012,61)	6613
(2012,60)	2144
(2012,59)	1329
(2012,58)	3114
(2012,57)	1120
(2012,56)	2333
(2012,55)	727
(2012,54)	1476
(2012,53)	5639
(2012,52)	1648
(2012,51)	2239
(2012,50)	1150
(2012,49)	8706
(2012,48)	1890
(2012,47)	524
(2012,46)	6343
(2012,45)	1700
(2012,44)	7083
(2012,43)	11405
(2012,42)	5209
(2012,41)	1854
(2012,40)	3387
(2012,39)	1665
(2012,38)	3965
(2012,37)	1212
(2012,36)	760
(2012,35)	2456
(2012,34)	1497
(2012,33)	1832
(2012,32)	7582
(2012,31)	3178
(2012,30)	5577
(2012,29)	10103
(2012,28)	9129
(2012,27)	5968
(2012,26)	6587
(2012,25)	20945
(2012,24)	9326
(2012,23)	10854
(2012,22)	6681
(2012,21)	3234
(2012,20)	1954
(2012,19)	6173
(2012,18)	775
(2012,17)	1887
(2012,16)	3790
(2012,15)	4061
(2012,14)	2854
(2012,13)	1004
(2012,12)	592
(2012,11)	1393
(2012,10)	1310
(2012,9)	315
(2012,8)	11199
(2012,7)	4856
(2012,6)	7563
(2012,5)	1825
(2012,4)	2233
(2012,3)	4879
(2012,2)	3921
(2012,1)	4822
(2012,0)	6
(2011,77)	3242
(2011,76)	1926
(2011,75)	2766
(2011,74)	664
(2011,73)	3940
(2011,72)	1212
(2011,71)	10001
(2011,70)	2961
(2011,69)	8731
(2011,68)	8990
(2011,67)	10587
(2011,66)	9816
(2011,65)	2631
(2011,64)	1325
(2011,63)	3567
(2011,62)	1433
(2011,61)	7518
(2011,60)	2286
(2011,59)	1414
(2011,58)	3595
(2011,57)	1206
(2011,56)	2438
(2011,55)	801
(2011,54)	1395
(2011,53)	5822
(2011,52)	1771
(2011,51)	2444
(2011,50)	1083
(2011,49)	9564
(2011,48)	2179
(2011,47)	446
(2011,46)	6549
(2011,45)	1815
(2011,44)	7140
(2011,43)	11864
(2011,42)	5520
(2011,41)	2074
(2011,40)	3894
(2011,39)	1920
(2011,38)	4550
(2011,37)	1162
(2011,36)	781
(2011,35)	2400
(2011,34)	1420
(2011,33)	1735
(2011,32)	7419
(2011,31)	3316
(2011,30)	5791
(2011,29)	9790
(2011,28)	9323
(2011,27)	6157
(2011,26)	6198
(2011,25)	22294
(2011,24)	9819
(2011,23)	10753
(2011,22)	7205
(2011,21)	3328
(2011,20)	1969
(2011,19)	6640
(2011,18)	845
(2011,17)	2089
(2011,16)	4116
(2011,15)	4285
(2011,14)	3005
(2011,13)	1052
(2011,12)	592
(2011,11)	1288
(2011,10)	1350
(2011,9)	350
(2011,8)	11123
