x,Crime,Streetlight Requests
1,699,550
2,832,1239
3,640,440
4,442,718
5,398,571
6,1135,916
7,1116,837
8,1297,694
9,49,406
10,297,1063
11,296,630
12,104,539
13,209,416
14,573,550
15,798,2042
16,815,1251
17,365,1471
18,136,366
19,1266,1534
20,488,500
21,610,620
22,1414,1478
23,2327,1857
24,2145,1685
25,4772,3487
26,1530,847
27,1319,975
28,1744,1422
29,1865,1565
30,1239,1339
31,715,1076
32,611,562
33,343,197
34,395,398
35,538,375
36,151,58
37,228,116
38,887,508
39,373,439
40,664,485
41,296,530
42,890,786
43,1960,2493
44,1326,2129
45,394,766
46,1134,1969
47,106,136
48,474,1572
49,1852,3705
50,207,401
51,544,1185
52,380,1469
53,1045,2722
54,250,193
55,109,801
56,459,2232
57,247,423
58,845,755
59,253,511
60,464,717
61,1288,1182
62,222,769
63,657,1026
64,241,1660
65,379,1591
66,1397,2221
67,1697,1976
68,1670,1400
69,1642,1900
70,579,2512
71,2009,3278
72,184,1385
73,860,2282
74,135,868
75,475,1670
76,77,111
77,418,570
